#OutID       RAout       DECout      mag_out     InID        RAin        DECin       mag_in      r           f(r)        df          f(df)       q(m)        n(m)        LR          Rel         flag        
88           52.634938   -27.078010  0.0000      621990      52.635968   -27.078769  25.1381     4.604       1.724e-03   0.000e+00   1.000e+00   1.748e-05   6.368e-03   4.732e-06   0.000       0           
101          53.191028   -28.376105  0.0000      302090      53.191372   -28.378256  25.7864     7.841       2.783e-06   0.000e+00   1.000e+00   2.938e-06   6.782e-03   1.206e-09   0.000       0           
101          53.191028   -28.376105  0.0000      302128      53.192578   -28.377664  27.1394     7.913       2.325e-06   0.000e+00   1.000e+00   4.051e-08   5.422e-03   1.737e-11   0.000       0           
101          53.191028   -28.376105  0.0000      302139      53.191650   -28.377298  26.8540     4.842       1.204e-03   0.000e+00   1.000e+00   1.067e-07   5.922e-03   2.169e-08   0.000       0           
101          53.191028   -28.376105  0.0000      302237      53.189306   -28.376064  25.5210     6.202       1.097e-04   0.000e+00   1.000e+00   6.231e-06   6.695e-03   1.021e-07   0.000       0           
101          53.191028   -28.376105  0.0000      302252      53.189876   -28.375762  26.8066     4.327       2.561e-03   0.000e+00   1.000e+00   1.248e-07   5.997e-03   5.330e-08   0.000       0           
101          53.191028   -28.376105  0.0000      302306      53.189991   -28.374892  25.8373     5.744       2.625e-04   0.000e+00   1.000e+00   2.538e-06   6.785e-03   9.819e-08   0.000       0           
101          53.191028   -28.376105  0.0000      302311      53.190600   -28.378044  24.0222     7.150       1.455e-05   0.000e+00   1.000e+00   2.517e-04   4.489e-03   8.160e-07   0.000       0           
101          53.191028   -28.376105  0.0000      302339      53.193106   -28.376320  26.0058     7.521       6.105e-06   0.000e+00   1.000e+00   1.546e-06   6.761e-03   1.396e-09   0.000       0           
101          53.191028   -28.376105  0.0000      302340      53.191778   -28.375612  19.7129     3.229       9.617e-03   0.000e+00   1.000e+00   9.297e-02   2.122e-04   4.213e+00   0.890       1           
